ESF;UC;centroid (lat);centroid (long);distance (km)
federal;ESTAçãO ECOLóGICA ALTO MAUéS;-5,57617273;-58,30036315;92,26838292
federal;PARQUE NACIONAL SERRA DAS CONFUSÕES;-9,00724294;-43,68523563;118,6163827
federal;PARQUE NACIONAL DO PANTANAL MATOGROSSENSE;-17,65579227;-57,43264872;30,53350015
federal;PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES;-15,3239953;-55,88236378;17,45737496
federal;PARQUE NACIONAL DA SERRA DA CAPIVARA;-8,69485788;-42,58587923;30,39343557
federal;RESERVA BIOLÓGICA DE SALTINHO;-8,72382142;-35,18131219;2,306350605
federal;RESERVA BIOLÓGICA DO ABUFARI;-5,18370629;-63,04394855;39,34090055
federal;REFÚGIO DE VIDA SILVESTRE DE BOA NOVA;-14,37473583;-40,16229161;18,70446625
federal;PARQUE NACIONAL DA FURNA FEIA;-5,0539252;-37,51072568;10,26260786
federal;ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO;-22,35348205;-52,37795388;24,21739705
federal;PARQUE NACIONAL SERRA DA MOCIDADE;1,1636565;-62,00025586;83,03392265
federal;PARQUE NACIONAL DE APARADOS DA SERRA;-29,1825433;-50,09871181;11,28309952
federal;RESERVA BIOLÓGICA MARINHA DO ARVOREDO;-27,22528655;-48,36516667;9,952000949
federal;PARQUE NACIONAL DO SUPERAGUI;-25,34665794;-48,20312486;22,60581709
federal;PARQUE NACIONAL DA SERRA DAS LONTRAS;-15,16418308;-39,34536783;11,12780367
federal;PARQUE NACIONAL DA AMAZÔNIA;-4,37862;-56,78006666;114,4410996
federal;PARQUE NACIONAL DA SERRA DA BODOQUENA;-21,09278412;-56,73154358;58,67491582
federal;ESTAÇÃO ECOLÓGICA DA GUANABARA;-22,71713053;-43,01793577;3,585926143
federal;MONUMENTO NATURAL DOS PONTÕES CAPIXABAS;-19,13397968;-40,78529404;18,07418693
federal;PARQUE NACIONAL DE SETE CIDADES;-4,10037405;-41,71202019;6,427916359
federal;ESTAÇÃO ECOLÓGICA DE CARIJÓS;-27,47711692;-48,50797632;8,593244002
federal;PARQUE NACIONAL DO ITATIAIA;-22,35472045;-44,65351866;15,35796108
federal;PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;1,96336124;-52,94568834;212,0701973
federal;RESERVA BIOLÓGICA DO CÓRREGO DO VEADO;-18,34246986;-40,14662574;4,534739342
federal;PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;-25,69679406;-48,64295355;19,59987757
federal;PARQUE NACIONAL DAS NASCENTES DO RIO PARNAIBA;-9,96900891;-46,01164452;97,83269011
federal;ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA;-28,22404462;-51,1666684;1,276151956
federal;PARQUE NACIONAL DOS CAMPOS GERAIS;-25,07122718;-49,95877848;15,48919348
federal;PARQUE NACIONAL DA SERRA DA CUTIA;-11,658239;-64,38448625;54,47729221
federal;RESERVA BIOLÓGICA DO RIO TROMBETAS;-1,13780391;-56,69188994;58,02344528
federal;RESERVA BIOLÓGICA DE SANTA ISABEL;-10,63896894;-36,70915014;22,19976015
federal;PARQUE NACIONAL DOS LENÇOIS MARANHENSES;-2,5369279;-43,06367237;50,83549987
federal;MONUMENTO NATURAL DO RIO SãO FRANCISCO;-9,50959975;-37,99209317;27,51741758
federal;PARQUE NACIONAL VIRUÁ;1,29115923;-61,15207346;45,92350891
federal;RESERVA BIOLÓGICA DA MATA ESCURA;-16,30513987;-41,04938468;16,95591302
federal;PARQUE NACIONAL DA TIJUCA;-22,94940459;-43,2710511;8,237788161
federal;ESTAÇÃO ECOLÓGICA DE CUNIÃ;-8,14671377;-63,40087421;58,27463436
federal;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;-25,28571492;-48,36870156;14,68286668
federal;RESERVA BIOLÓGICA DE SERRA NEGRA;-8,65494061;-38,02897928;2,569604082
