country;major area;minor area;centroid (lat);centroid (long);distance (km)
Argentina;Buenos Aires;Adolfo Alsina;-37,19907183;-63,06035256;81,6872259
Argentina;Buenos Aires;Adolfo Gonzales Chaves;-37,96402436;-60,25176593;53,97983937
Argentina;Buenos Aires;Alberti;-35,03737288;-60,28669516;31,12059114
Argentina;Buenos Aires;Almirante Brown;-34,83861447;-58,36831281;9,339542765
Argentina;Buenos Aires;Ameghino;-34,87653463;-62,39813204;33,82320964
Argentina;Buenos Aires;Arrecifes;-34,0121401;-60,06554191;26,03202376
Argentina;Buenos Aires;Avellaneda;-34,68141572;-58,34008948;6,329533126
Argentina;Buenos Aires;Ayacucho;-37,03748763;-58,44635253;60,83379601
Argentina;Buenos Aires;Azul;-36,78984414;-59,69951346;76,55711048
Argentina;Buenos Aires;Bahía Blanca;-38,58003468;-62,16957157;38,60854896
Argentina;Buenos Aires;Balcarce;-37,71755199;-58,27365106;49,52905525
Argentina;Buenos Aires;Baradero;-33,93424332;-59,4938586;32,7472294
Argentina;Buenos Aires;Benito Juárez;-37,59022718;-59,88666266;58,72261154
Argentina;Buenos Aires;Berazategui;-34,8191857;-58,15471431;15,88922
Argentina;Buenos Aires;Berisso;-34,90931913;-57,82976029;11,48496966
Argentina;Buenos Aires;Bolívar;-36,29719883;-61,14952261;64,34089383
Argentina;Buenos Aires;Bragado;-35,06110261;-60,60699132;47,29053447
Argentina;Buenos Aires;Brandsen;-35,22310911;-58,17480912;25,78778474
Argentina;Buenos Aires;Cañuelas;-35,14877989;-58,69419211;32,09101704
Argentina;Buenos Aires;Campana;-34,14222716;-58,88577465;27,43256275
Argentina;Buenos Aires;Capitán Sarmiento;-34,15238534;-59,85964502;20,88438967
Argentina;Buenos Aires;Carlos Casares;-35,74853912;-61,37576378;39,37578105
Argentina;Buenos Aires;Carlos Tejedor;-35,38302695;-62,42634078;48,74499701
Argentina;Buenos Aires;Carmen de Areco;-34,40918178;-59,8872327;23,82485533
Argentina;Buenos Aires;Castelli;-36,04421934;-57,65417706;46,23674547
Argentina;Buenos Aires;Chacabuco;-34,61842938;-60,35652853;43,05443952
Argentina;Buenos Aires;Chascomús;-35,68123832;-57,90801161;50,94231147
Argentina;Buenos Aires;Chivilcoy;-34,91787434;-59,96346844;33,68861977
Argentina;Buenos Aires;Colón;-33,88714925;-61,06606323;36,79626441
Argentina;Buenos Aires;Coronel de Marina Leonardo Rosales;-38,84512409;-61,83541243;36,72759163
Argentina;Buenos Aires;Coronel Dorrego;-38,67016213;-61,09513446;58,15825564
Argentina;Buenos Aires;Coronel Pringles;-38,1485159;-61,26630766;70,1311897
Argentina;Buenos Aires;Coronel Suárez;-37,53076804;-61,88754685;71,22310078
Argentina;Buenos Aires;Daireaux;-36,64003598;-61,8906017;57,3368044
Argentina;Buenos Aires;Dolores;-36,40075329;-57,63800854;34,58782696
Argentina;Buenos Aires;Ensenada;-34,84196098;-57,9827832;9,367859235
Argentina;Buenos Aires;Escobar;-34,33455675;-58,77468414;14,55487923
Argentina;Buenos Aires;Esteban Echeverría;-34,8691975;-58,53057612;17,12693477
Argentina;Buenos Aires;Exaltación de la Cruz;-34,29932323;-59,16125719;25,48179452
Argentina;Buenos Aires;Florencio Varela;-34,88244441;-58,26393381;14,33052721
Argentina;Buenos Aires;General Alvarado;-38,20455563;-58,07263957;30,72281249
Argentina;Buenos Aires;General Alvear;-36,03568375;-60,13741694;55,62274139
Argentina;Buenos Aires;General Arenales;-34,23623549;-61,28511831;34,78192452
Argentina;Buenos Aires;General Belgrano;-35,83794203;-58,70314328;46,43727469
Argentina;Buenos Aires;General Guido;-36,67026371;-58,00044771;45,61787584
Argentina;Buenos Aires;General Juan Madariaga;-37,15789823;-57,23451354;39,65216719
Argentina;Buenos Aires;General La Madrid;-37,35902136;-61,34271529;65,83658096
Argentina;Buenos Aires;General Las Heras;-34,91199641;-58,99944564;21,24804572
Argentina;Buenos Aires;General Lavalle;-36,64944408;-56,94879732;42,8049899
Argentina;Buenos Aires;General Paz;-35,46820653;-58,39408078;29,78141503
Argentina;Buenos Aires;General Pinto;-34,6647728;-62,03868888;35,13425309
Argentina;Buenos Aires;General Pueyrredón;-37,96879359;-57,74484591;26,50998081
Argentina;Buenos Aires;General Rodríguez;-34,65420615;-58,99179083;14,12011519
Argentina;Buenos Aires;General San Martín;-34,55749826;-58,5647989;7,723307233
Argentina;Buenos Aires;General Sarmiento;-34,52271347;-58,72533577;14,10055929
Argentina;Buenos Aires;General Viamonte;-34,99777559;-61,05231005;35,11643801
Argentina;Buenos Aires;General Villegas;-34,77216199;-62,95700098;76,6725662
Argentina;Buenos Aires;Guaminí;-36,891939;-62,41980629;51,28578687
Argentina;Buenos Aires;Hipólito Yrigoyen;-36,25883382;-61,66203486;40,78475548
Argentina;Buenos Aires;Junín;-34,54509555;-61,00771735;32,94540496
Argentina;Buenos Aires;La Costa;-36,70848983;-56,72061665;46,17179508
Argentina;Buenos Aires;La Matanza;-34,77334327;-58,62584265;16,61802242
Argentina;Buenos Aires;La Plata;-35,0040484;-58,01879916;24,98403216
Argentina;Buenos Aires;Lanús;-34,70990562;-58,39540736;6,054156244
Argentina;Buenos Aires;Laprida;-37,5162553;-60,76564579;51,041931
Argentina;Buenos Aires;Las Flores;-36,0205912;-59,17973043;51,60664466
Argentina;Buenos Aires;Leandro N. Alem;-34,49926515;-61,61374326;33,91793445
Argentina;Buenos Aires;Lincoln;-35,07164672;-61,68380606;58,47762635
Argentina;Buenos Aires;Lobería;-38,09239104;-58,69417537;55,78511987
Argentina;Buenos Aires;Lobos;-35,22235018;-59,15231167;37,10432066
Argentina;Buenos Aires;Lomas de Zamora;-34,75867352;-58,42486248;8,00303084
Argentina;Buenos Aires;Luján;-34,57268809;-59,16318066;26,40217195
Argentina;Buenos Aires;Magdalena;-35,29969989;-57,55551149;44,56854641
Argentina;Buenos Aires;Maipú;-36,88955206;-57,58972592;38,14231593
Argentina;Buenos Aires;Mar Chiquita;-37,50073421;-57,65194957;40,98796617
Argentina;Buenos Aires;Marcos Paz;-34,81701183;-58,84950081;18,22856571
Argentina;Buenos Aires;Mercedes;-34,70090926;-59,42778649;28,14470041
Argentina;Buenos Aires;Merlo;-34,71464844;-58,7423547;11,34390997
Argentina;Buenos Aires;Monte Hermoso;-38,96395402;-61,28805082;17,78229606
Argentina;Buenos Aires;Monte;-35,51332021;-58,77327942;33,72625152
Argentina;Buenos Aires;Morón;-34,63604624;-58,64893993;8,43870376
Argentina;Buenos Aires;Moreno;-34,61517549;-58,81128212;11,37262143
Argentina;Buenos Aires;Navarro;-35,03341349;-59,43483447;39,48936726
Argentina;Buenos Aires;Necochea;-38,25773336;-59,16829603;70,96720563
Argentina;Buenos Aires;Nueve de Julio;-35,48308011;-60,97509901;51,70661339
Argentina;Buenos Aires;Olavarría;-36,85720991;-60,67493668;67,48737669
Argentina;Buenos Aires;Patagones;-40,1902147;-62,84234352;106,9113771
Argentina;Buenos Aires;Pehuajó;-35,88514025;-61,92697734;47,29150817
Argentina;Buenos Aires;Pellegrini;-36,27182124;-63,22652091;45,52437486
Argentina;Buenos Aires;Pergamino;-33,83476382;-60,54855438;43,47817657
Argentina;Buenos Aires;Pila;-36,20477701;-58,34520523;44,94468067
Argentina;Buenos Aires;Pilar;-34,45418623;-58,90764297;15,69187395
Argentina;Buenos Aires;Pinamar;-37,10839326;-56,86970289;11,83984453
Argentina;Buenos Aires;Puán;-38,07810866;-63,05933614;89,49162461
Argentina;Buenos Aires;Quilmes;-34,73740619;-58,27575436;7,670967135
Argentina;Buenos Aires;Ramallo;-33,5881976;-60,058308;28,69332942
Argentina;Buenos Aires;Rauch;-36,57644197;-58,94801609;47,17928844
Argentina;Buenos Aires;Rivadavia;-35,58490765;-63,09458182;42,93040402
Argentina;Buenos Aires;Rojas;-34,19428257;-60,78827435;33,25226115
Argentina;Buenos Aires;Roque Pérez;-35,48679168;-59,35986501;43,14877284
Argentina;Buenos Aires;Saavedra;-37,7691182;-62,43576636;40,94484581
Argentina;Buenos Aires;Saladillo;-35,68085058;-59,70769591;48,04035937
Argentina;Buenos Aires;Salliqueló;-36,67392909;-63,04590548;22,08987108
Argentina;Buenos Aires;Salto;-34,27182344;-60,30747418;30,61233978
Argentina;Buenos Aires;San Andrés de Giles;-34,44162414;-59,477294;28,1549795
Argentina;Buenos Aires;San Antonio de Areco;-34,22351494;-59,5226526;30,66624488
Argentina;Buenos Aires;San Cayetano;-38,39042012;-59,58619606;44,61513252
Argentina;Buenos Aires;San Fernando (1);-34,15012812;-58,54301467;29,21234312
Argentina;Buenos Aires;San Fernando (2);-34,46107429;-58,56727592;4,432185754
Argentina;Buenos Aires;San Isidro;-34,49116726;-58,53596304;5,947035824
Argentina;Buenos Aires;San Nicolás;-33,48074289;-60,29321511;24,85773835
Argentina;Buenos Aires;San Pedro;-33,78298881;-59,78109055;30,51541755
Argentina;Buenos Aires;San Vicente;-35,06135305;-58,4314611;20,78973296
Argentina;Buenos Aires;Suipacha;-34,75378052;-59,70753348;25,53628611
Argentina;Buenos Aires;Tandil;-37,33932696;-59,18388747;53,75152381
Argentina;Buenos Aires;Tapalqué;-36,34672806;-60,13048906;71,38129298
Argentina;Buenos Aires;Tigre;-34,38663143;-58,59982741;16,40907832
Argentina;Buenos Aires;Tordillo;-36,39323387;-57,28046215;31,19979968
Argentina;Buenos Aires;Tornquist;-38,2521042;-62,28767134;57,82935045
Argentina;Buenos Aires;Trenque Lauquen;-36,05949196;-62,63296223;50,77981753
Argentina;Buenos Aires;Tres Arroyos;-38,51169681;-60,23853032;60,71249583
Argentina;Buenos Aires;Tres de Febrero;-34,60087818;-58,57920594;7,981207966
Argentina;Buenos Aires;Tres Lomas;-36,4957372;-62,86465875;24,12469105
Argentina;Buenos Aires;Veinticinco de Mayo;-35,52787079;-60,23300291;71,24298241
Argentina;Buenos Aires;Vicente López;-34,53113703;-58,50308223;4,7144835
Argentina;Buenos Aires;Villa Gesell;-37,38322097;-57,07451772;25,10944162
Argentina;Buenos Aires;Villarino;-39,12606454;-62,70917227;95,48578055
Argentina;Buenos Aires;Zárate;-33,99733144;-59,12715996;27,83807
Argentina;Córdoba;Calamuchita;-32,20686495;-64,61478596;53,11183995
Argentina;Córdoba;Capital;-31,42136115;-64,18851848;17,12011409
